Hospital,Region,PostalCode,Locality,Lat,Lng,Type
Iroha Kindergarten,Central,397999,"231, Mountbatten Road",1.308822,103.878141,Childcare
Jamiyah Kindergarten,Central,399006,"31, Lorong 12 Geylang",1.309935,103.878147,Childcare
Chen Li Kindergarten,Central,399711,"76, Guillemard Road",1.309935,103.878147,Childcare
Divinity Kindergarten,Central,408570,"70, Ubi Crescent",1.343754,103.851615,Childcare
Etonhouse International Research Preschool,Central,436736,"716, Mountbatten Road",1.300579,103.884491,Childcare
PCF Sparkletots Preschool @ Marine Parade Blk 46 (DS),Central,440046,"46, Marine Crescent",1.305054,103.910649,Childcare
Tung Ling Kindergarten,Central,449274,"145, Marine Parade",1.304314,103.904434,Childcare
Kampung Siglap Mosque Kindergarten,Central,449283,"451, Marine Parade Road",1.309749,103.925345,Childcare
Bethesda (Katong) Kindergarten,Central,456929,"2, La Salle Street",1.316681,103.916090,Childcare
Bethany Kindergarten,Central,534934,"301, Upper Paya Lebar Road",1.344423,103.880027,Childcare
Ramakrishna Mission Sarada Kindergarten,Central,539784,"179, Bartley Road",1.343925,103.877265,Childcare
PCF Sparkletots Preschool @ Bishan East-Thomson Blk 197 (KN),Central,570197,"197, Bishan Street 13",1.348850,103.848305,Childcare
Callidus Preschool,Central,570229,"229, Bishan Street 23",1.357572,103.843906,Childcare
Totsville Montessori Kindergarten (Bishan),Central,570230,"230, Bishan Street 23",1.357865,103.843267,Childcare
PCF Sparkletots Preschool @ Bishan North Blk 231 (DS),Central,570231,"231, Bishan Street 23",1.357349,103.843541,Childcare
P & J Kindergarten,Central,574141,"35, Windsor Park Road",1.357252,103.824070,Childcare
Agape Montessori Kidz Kindergarten,Central,574457,"11, Thomson Hills Drive",1.377748,103.832491,Childcare
Mount Alvernia Hospital,Central,574623,"820, Thomson Rd",1.341900,103.837900,Hospital
Zion Bishan Kindergarten,Central,579792,"4, Bishan Street 13",1.347126,103.852711,Childcare
Chatsworth Preschool,North-East,797641,"3, Piccadilly Circus",1.317951,103.735743,Childcare
Pasir Panjang Hill Church Kindergarten,East,118827,"3, Pasir Panjang Hill",1.280349,103.78358630,Childcare
Singapore General Hospital,East,169608,Outram Rd,1.279590,103.83589000,Hospital
White Lodge Kindergarten (East Coast),East,399719,"102, Guillemard Road",1.309829,103.88034690,Childcare
PCF Sparkletots Preschool @ Geylang Serai Blk 11 (KN),East,400011,"11, Eunos Cresent",1.309829,103.87378080,Childcare
PCF Sparkletots Preschool @ Kembangan Chai Chee Blk 326 (KN),East,400326,"326, Ubi Avenue 1",1.325050,103.90113780,Childcare
PCF Sparkletots Preschool @ Kembangan Chai Chee Blk 116 (DS),East,410116,"116, Lengkong Tiga",1.325050,103.90989260,Childcare
Bethesda Chapel Kindergarten,East,416913,"27, Lorong Melayu",1.320670,103.90783530,Childcare
Pu Hui Kindergarten,East,426603,"8, Lorong 102 Changi Road",1.316343,103.89834480,Childcare
Parkway East Hospital,East,427990,"321, Joo Chiat Pl",1.315100,103.90900000,Hospital
Children's Vineyard Kindergarten,East,428102,"42, Joo Chiat Lane",1.316343,103.86551380,Childcare
Dreamkids Kindergarten @ East Gate Pte Ltd,East,428766,"46, East Coast Road",1.304379,103.90116430,Childcare
Dynamic World Montessori Preschool,East,428951,"292, East Coast Road",1.308138,103.90708990,Childcare
NAFA Arts Preschool,Central,189655,"80, Bencoolen Street",1.304804,103.86541800,Childcare
My Prep School,East,448910,"9, Siglap Road",1.304804,103.86541800,Childcare
LittleSparks Montessori Kindergarten,East,456192,"20, Siglap Drive",1.304804,103.86541800,Childcare
PCF Sparkletots Preschool @ Fengshan Blk 126 (DS),East,460126,"126, Bedok North Street 2",1.328294,103.93647830,Childcare
PCF Sparkletots Preschool @ Kampong Chai Chee Blk 135 (KN),East,460135,"135, Bedok North Street 2",1.330270,103.93391700,Childcare
PCF Sparkletots Preschool @ Siglap Blk 170 (KN),East,460170,"170, Bedok South Road",1.320860,103.94309420,Childcare
PCF Sparkletots Preschool @ Kaki Bukit Blk 519 (KN),East,460519,"519, Bedok North Avenue 1",1.330932,103.92608020,Childcare
PCF Sparkletots Preschool @ Kaki Bukit Blk 526 (KN),East,460526,"526, Bedok North Street 3",1.334214,103.92693840,Childcare
PCF Sparkletots Preschool @ Bedok Blk 30 (DS),East,461030,"30, New Upper Changi Road",1.323619,103.93427750,Childcare
Holy Grace Kindergarten,East,466484,"408-B, Upper East Coast Road",1.314221,103.93733930,Childcare
Gate Junior Preschool,East,467905,"46, Limau Garden",1.314220,103.86948720,Childcare
Bedok Lutheran Church Kindergarten,East,469315,"485, Bedok South Avenue 2",1.321067,103.93581020,Childcare
Bedok Methodist Church Kindergarten,East,469371,"86, Bedok Road",1.323675,103.95160830,Childcare
Bethesda (Bedok-Tampines) Kindergarten,East,469717,"300, Bedok North Avenue 3",1.331242,103.93257030,Childcare
Al - Ansar Mosque Kindergarten,East,469751,"155, Bedok North Avenue 1",1.327060,103.92410380,Childcare
PCF Sparkletots Preschool @ Eunos Blk 122 (KN),East,470122,"122, Bedok Reservoir Road",1.335773,103.80203120,Childcare
PCF Sparkletots Preschool @ Eunos Blk 616 (KN),East,470616,"616, Bedok Reservoir Road",1.331972,103.91292730,Childcare
PCF Sparkletots Preschool @ Bedok Reservoir Punggol Blk 713 (DS),East,470713,"713, Bedok Reservoir Road",1.336995,103.92316250,Childcare
Paper Scissors Stone Montessori Kindergarten (Bedok Reservoir Branch),East,470718,"718, Bedok Reservoir Road",1.336995,103.92316250,Childcare
PCF Sparkletots Preschool @ Pasir Ris East Blk 216 (KN),East,510216,"216, Pasir Ris Street 21",1.369030,103.95871830,Childcare
Brainy Bunch International Montessori (Pasir Ris),East,510273,"273, Pasir Ris Street 21",1.359128,103.88935290,Childcare
Al - Amin Preschool (Pasir Ris),East,510570,"570, Pasir Ris Street 53",1.363740,103.94416480,Childcare
Zulfa Kindergarten @ Pasir Ris,East,510626,"626, Pasir Ris Drive 3",1.379813,103.93874620,Childcare
Sri Sathya Sai Kindergarten,East,510716,"716, Pasir Ris St 72",1.383026,103.93463530,Childcare
PCF Sparkletots Preschool @ Pasir Ris West Blk 738 (KN),East,510738,"738, Pasir Ris Drive 10",1.379068,103.93441010,Childcare
Hanis Montessori Kindergarten (Pasir Ris),East,510775,"775, Pasir Ris Street 71",1.374410,103.93450330,Childcare
Al - Istighfar Mosque Kindergarten,East,518239,"2, Pasir Ris Walk",1.370971,103.96192160,Childcare
Bethesda (Pasir Ris) Kindergarten,East,518458,"11, Pasir Ris Drive 2",1.367897,103.96220230,Childcare
Kidz Meadow Kindergarten,East,519108,"102, Pasir Ris Road",1.381692,103.89418490,Childcare
ACES Montessori Kidz Kindergarten,East,519457,"1, Pasir Ris Drive 4",1.368478,103.95940990,Childcare
PCF Sparkletots Preschool @ Changi-Simei Blk 119 (KN),East,520119,"119, Simei Street 1",1.343875,103.94996820,Childcare
PCF Sparkletots Preschool @ Changi-Simei Blk 131 (KN),East,520131,"131, Simei Street 1",1.345435,103.95165270,Childcare
PCF Sparkletots Preschool @ Tampines West Blk 140 (DS),East,520140,"140, Tampines Street 12",1.347674,103.94158530,Childcare
PCF Sparkletots Preschool @ Tampines East Blk 261 (KN),East,520261,"261, Tampines Street 21",1.354257,103.94864730,Childcare
PCF Sparkletots Preschool @ Tampines-Changkat Blk 284 (KN),East,520284,"284, Tampines Street 22",1.349099,103.95039330,Childcare
PCF Sparkletots Preschool @ Tampines-Changkat Blk 318 (KN),East,520318,"318, Tampines Street 33",1.356818,103.95015160,Childcare
Creative Twinkles Preschool,East,520354,"354, Tampines Street 33",1.353034,103.95963970,Childcare
Hanis Montessori Kindergarten (Tampines),East,520374,"374, Tampines Street 34",1.356818,103.95671770,Childcare
Mahad Al - Nasry Kindergarten,East,520476,"476, Tampines Street 44",1.360301,103.91721730,Childcare
PCF Sparkletots Preschool @ Tampines North Blk 483 (KN),East,520483,"483, Tampines Street 43",1.360301,103.95114270,Childcare
PCF Sparkletots Preschool @ Tampines Central Blk 725 (DS),East,520725,"725, Tampines Street 71",1.356957,103.93320160,Childcare
Cavenur Kindergarten Pte. Ltd.,East,520741,"741, Tampines Street 72",1.360189,103.93092130,Childcare
PCF Sparkletots Preschool @ Tampines Central Blk 856 (KN),East,520856,"856, Tampines Street 82",1.354741,103.93355480,Childcare
