Hospital,Region,PostalCode,Locality,Lat,Lng,Type
National University Hospital,West,119074,"5, Lower Kent Ridge Rd",1.293700,103.783200,Hospital
PCF Sparkletots Preschool @ Clementi Blk 330 (DS),West,120330,"330, Clementi Avenue 2",1.313691,103.766610,Childcare
PCF Sparkletots Preschool @ West Coast Blk 728 (KN),West,120728,"728, Clementi West Street 2",1.305444,103.761532,Childcare
PCF Sparkletots Preschool @ Bukit Timah Blk 312B (DS),West,122312,"312B, Clementi Avenue 4",1.319712,103.762256,Childcare
Clementi Woods Kindergarten LLP,West,127370,"152, West Coast Road",1.302750,103.763649,Childcare
PCF Sparkletots Preschool @ Telok Blangah Blk 2 (KN),West,130002,"2, Dover Road",1.302517,103.781048,Childcare
Arise Kindergarten,West,589240,"2B, Hindhede Road",1.344603,103.773489,Childcare
Early Years Montessori,West,597475,"16, Sunset Drive",1.325740,103.764450,Childcare
Glory Kindergarten,West,597611,"11, Pei Wah Avenue",1.338312,103.773352,Childcare
Canossian Convent Kindergarten,West,598454,"100, Jalan Merbok",1.345336,103.762799,Childcare
PCF Sparkletots Preschool @ Ayer Rajah Blk 48 (DS),West,600048,"48, Teban Gardens Road",1.320538,103.737704,Childcare
PCF Sparkletots Preschool @ Yuhua Blk 251 (KN),West,600251,"251, Jurong East Street 24",1.343100,103.731040,Childcare
PCF Sparkletots Preschool @ Yuhua Blk 317 (KN),West,600317,"317, Jurong East Street 31",1.347063,103.722142,Childcare
PCF Sparkletots Preschool @ Bukit Batok East Blk 285C (KN),West,603285,"285C, Toh Guan Road",1.337910,103.744157,Childcare
Calvary Pandan Kindergarten,West,609337,"201, Pandan Gardens",1.321170,103.743835,Childcare
Galilee Kindergarten,West,609338,"202, Pandan Gardens",1.321751,103.743911,Childcare
Al - Mukminin Mosque Kindergarten,West,609603,"271, Jurong East Street 21",1.339214,103.739245,Childcare
Jurong Community Hospital,West,609606,"1, Jurong East Street 21",1.332940,103.747080,Hospital
Ng Teng Fong General Hospital,West,609606,"1, Jurong East Street 21",1.335040,103.743990,Hospital
Seventh-day Adventist Kindergarten,West,609648,"90, Jurong East Street 13",1.343138,103.737363,Childcare
PCF Sparkletots Preschool @ Taman Jurong Blk 352 (DS),West,610352,"352, Kang Ching Road",1.339223,103.718086,Childcare
Assyakirin Mosque Kindergarten,West,618617,"550, Yung An Road",1.335581,103.717447,Childcare
Jurong Calvary Kindergarten,West,618720,"1, Tao Ching Road",1.333276,103.721373,Childcare
Jurong Christian Church Kindergarten,West,618744,"2, Tah Ching Road",1.336815,103.720037,Childcare
PCF Sparkletots Preschool @ Boon Lay Blk 207 (DS),West,640207,"207, Boon Lay Place",1.346640,103.711431,Childcare
PCF Sparkletots Preschool @ Boon Lay Blk 262 (KN),West,640262,"262, Boon Lay Drive",1.344706,103.705088,Childcare
Morning Glory Preschool,West,640414,"414, Jurong West Street 42",1.352812,103.723968,Childcare
PCF Sparkletots Preschool @ Jurong Spring Blk 465 (KN),West,640465,"465, Jurong West Street 41",1.352987,103.716392,Childcare
PCF Sparkletots Preschool @ Jurong Central Blk 490 (KN),West,640490,"490, Jurong West Avenue 1",1.348577,103.728766,Childcare
PCF Sparkletots Preschool @ Boon Lay Blk 631 (KN),West,640631,"631, Jurong West Street 65",1.343583,103.698086,Childcare
PCF Sparkletots Preschool @ Pioneer Blk 642 (KN),West,640642,"642, Jurong West Street 61",1.340431,103.693684,Childcare
Zulfa Kindergarten,West,640717,"717, Jurong West Street 71",1.340431,103.693684,Childcare
Elite Learning Kindergarten Pte Ltd,West,640720,"720, Jurong West Avenue 5",1.344390,103.695219,Childcare
Evelyn's Schoolhouse,West,640735,"735, Jurong West St 75",1.345968,103.699008,Childcare
Al-Nasry @ Jurong West Kindergarten,West,640743,"743, Jurong West Street 73",1.347175,103.697323,Childcare
PCF Sparkletots Preschool @ Hong Kah North Blk 750 (KN),West,640750,"750, Jurong West Street 73",1.347990,103.697275,Childcare
PCF Sparkletots Preschool @ Nanyang Blk 934 (KN),West,640934,"934, Jurong West Street 91",1.342863,103.690638,Childcare
PCF Sparkletots Preschool @ Pioneer Blk 665A (KN),West,641665,"665A, Jurong West Street 64",1.339949,103.701076,Childcare
PCF Sparkletots Preschool @ Pioneer Blk 654B (KN),West,642654,"654B, Jurong West Street 61",1.336016,103.697893,Childcare
PCF Sparkletots Preschool @ Pioneer Blk 662B (KN),West,642662,"662B, Jurong West Street 64",1.337205,103.694361,Childcare
PCF Sparkletots Preschool @ Hong Kah North Blk 276D (KN),West,644276,"276D, Jurong West Street 25",1.353458,103.695648,Childcare
Centre of New Life Kindergarten,West,649151,"5, Jurong West Street 74",1.349652,103.690420,Childcare
St. Francis Of Assisi Kindergarten (Jurong West),West,649368,"47, Jurong West Street 42",1.351702,103.714240,Childcare
St. Francis Of Assisi Kindergarten (Boon Lay),West,649964,"200, Boon Lay Avenue",1.348061,103.708943,Childcare
PCF Sparkletots Preschool @ Bukit Batok Blk 148 (KN),West,650148,"148, Bukit Batok West Avenue 6",1.349290,103.741695,Childcare
PCF Sparkletots Preschool @ Bukit Batok Blk 180 (KN),West,650180,"180, Bukit Batok West Avenue 8",1.345505,103.740692,Childcare
PCF Sparkletots Preschool @ Bukit Batok East Blk 241 (KN),West,650241,"241, Bukit Batok East Avenue 5",1.350917,103.752269,Childcare
PCF Sparkletots Preschool @ Hong Kah North Blk 319 (KN),West,650319,"319, Bukit Batok Street 33",1.361222,103.737609,Childcare
PCF Sparkletots Preschool @ Hong Kah North Blk 338 (KN),West,650338,"338, Bukit Batok Street 34",1.363603,103.748400,Childcare
PCF Sparkletots Preschool @ Bukit Gombak Blk 535 (DS),West,650535,"535, Bukit Batok Street 52",1.354954,103.748042,Childcare
PCF Sparkletots Preschool @ Bukit Batok East Blk 289G (KN),West,656289,"289G, Bukit Batok Street 25",1.329491,103.746852,Childcare
Grace House Kindergarten,West,659125,"1, Bukit Batok West Avenue 4",1.329491,103.746852,Childcare
Ar - Raudhah Mosque Kindergarten,West,659919,"30, Bukit Batok East Avenue 2",1.351637,103.753855,Childcare
PCF Sparkletots Preschool @ Bukit Panjang Blk 111 (KN),West,670111,"111, Gangsa Road",1.378146,103.766008,Childcare
PCF Sparkletots Preschool @ Bukit Panjang Blk 226 (KN),West,670226,"226, Pending Road",1.375289,103.770146,Childcare
PCF Sparkletots Preschool @ Bukit Panjang Blk 422 (KN),West,670422,"422, Fajar Road",1.385016,103.767396,Childcare
PCF Sparkletots Preschool @ Zhenghua Blk 528 (KN),West,670528,"528, Jelapang Road",1.385218,103.762739,Childcare
PCF Sparkletots Preschool @ Cashew Blk 545 (KN),West,670545,"545, Bukit Panjang Ring Road",1.383066,103.760966,Childcare
PCF Sparkletots Preschool @ Zhenghua Blk 455A (KN),West,671455,"455A, Segar Road",1.387802,103.768592,Childcare
Bukit Panjang Methodist Church Kindergarten,West,678099,"496, Upper Bukit Timah Road",1.361161,103.765433,Childcare
St. Joseph's Church Kindergarten,West,679331,"600, Upper Bukit Timah Road",1.367902,103.765954,Childcare
Al - Iman Mosque Kindergarten,West,679943,"10, Bukit Panjang Ring Road",1.378212,103.770405,Childcare
PCF Sparkletots Preschool @ Chua Chu Kang Blk 10 (KN),West,680010,"10, Teck Whye Avenue",1.380253,103.751037,Childcare
PCF Sparkletots Preschool @ Keat Hong Blk 295 (DS),West,680295,"295, Choa Chu Kang Avenue 2",1.378179,103.739861,Childcare
PCF Sparkletots Preschool @ Keat Hong Blk 411 (DS),West,680411,"411, Choa Chu Kang Avenue 3",1.379886,103.737857,Childcare
Zulfa Kindergarten @ Choa Chu Kang,West,680445,"445, Choa Chu Kang Avenue 4",1.380400,103.734618,Childcare
Iman Kindergarten (CCK),West,680530,"530, Choa Chu Kang Street 51",1.392674,103.739661,Childcare
Hanis Montessori Kindergarten (Choa Chu Kang),West,680707,"707, Choa Chu Kang Street 53",1.390680,103.744840,Childcare
PCF Sparkletots Preschool @ Keat Hong Blk 801 (DS),West,680801,"801, Keat Hong Close",1.375246,103.740775,Childcare
Methodist Church Of The Incarnation (MCI) Kindergarten,West,688798,"31, Teck Whye Lane",1.379770,103.744553,Childcare
Al - Khair Mosque Kindergarten,West,688847,"1, Teck Whye Crescent",1.382596,103.741605,Childcare
Choa Chu Kang Bible Centre Kindergarten,West,689284,"10, Choa Chu Kang Street 52",1.394727,103.735148,Childcare
CGM Kindergarten,West,689457,"172, Choa Chu Kang Avenue 1",1.377069,103.737978,Childcare
Hope Community Kindergarten (Choa Chu Kang),West,689907,"21, Choa Chu Kang Avenue 2",1.377780,103.732000,Childcare
